NAME,,,DETAILED_INFO,,,,,MUSCLE_GROUPS,,,,,,,,,,,,,,,,,,EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,CATEGORY_GARMIN,NAME_GARMIN,FOUND,IMAGE,URL,DIFFICULTY,DESCRIPTION,,ABDUCTORS,ABS,ADDUCTORS,BICEPS,CALVES,CHEST,FOREARM,GLUTES,HAMSTRINGS,HIPS,LATS,LOWER_BACK,OBLIQUES,QUADS,SHOULDERS,TRAPS,TRICEPS,ANKLE_WEIGHT,BAND,BARBELL,BATTLE_ROPE,BENCH,BIKE,BOSU_BALL,BOX,CABLE_MACHINE,DUMBBELL,EZ_BAR,FOAM_ROLLER,JUMP_ROPE,KETTLEBELL,MACHINE,MEDICINE_BALL,OTHER,PLATE,PULLUP_BAR,RINGS,ROPE,SANDBAG,SLED,SLIDING_DISC,SMITH_MACHINE,SQUAT_RACK,SWISS_BALL,TRX,WEIGHT_VEST
Battle Rope Sitting Russian Twist,BATTLE_ROPE,SITTING_RUSSIAN_TWIST,FALSE,,,,,0,0,2,0,2,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Snake Wave,BATTLE_ROPE,SNAKE_WAVE,FALSE,,,,,0,0,2,0,1,2,0,1,2,2,0,0,2,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Split Jack,BATTLE_ROPE,SPLIT_JACK,FALSE,,,,,0,0,2,0,2,2,0,2,2,2,2,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Stage Coach,BATTLE_ROPE,STAGE_COACH,FALSE,,,,,0,0,2,0,1,2,0,1,2,2,0,0,2,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Ultimate Warrior,BATTLE_ROPE,ULTIMATE_WARRIOR,FALSE,,,,,0,0,2,0,2,0,0,2,0,1,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Upper Cuts,BATTLE_ROPE,UPPER_CUTS,FALSE,,,,,0,0,2,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alternating Dumbbell Chest Press,BENCH_PRESS,ALTERNATING_DUMBBELL_CHEST_PRESS,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alternating Dumbbell Chest Press on Swiss Ball,BENCH_PRESS,ALTERNATING_DUMBBELL_CHEST_PRESS_ON_SWISS_BALL,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Barbell Bench Press,BENCH_PRESS,BARBELL_BENCH_PRESS,TRUE,,https://connect.garmin.com/modern/exercises/BENCH_PRESS/BARBELL_BENCH_PRESS,Advanced,"The barbell bench press is an upper body pressing drill that builds size and strength in the upper body, specifically in the chest, triceps, and shoulders. Lying flat on a bench allows for improved stability. The exercise allows for the greatest amount of weight to be used, which makes it ideal for building strength, size, and power.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbell Board Bench Press,BENCH_PRESS,BARBELL_BOARD_BENCH_PRESS,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Barbell Floor Press,BENCH_PRESS,BARBELL_FLOOR_PRESS,TRUE,,https://connect.garmin.com/modern/exercises/BENCH_PRESS/BARBELL_FLOOR_PRESS,Advanced,"The barbell floor press is an upper body exercise for the chest, shoulders and triceps. When performed on the floor, the range of motion of the exercise is limited to reduce the strain placed on the shoulder joint.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bench Press,BENCH_PRESS,BENCH_PRESS,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
