NAME,,,DETAILED_INFO,,,,,MUSCLE_GROUPS,,,,,,,,,,,,,,,,,,
Name,CATEGORY_GARMIN,NAME_GARMIN,FOUND,IMAGE,URL,DIFFICULTY,DESCRIPTION,,ABDUCTORS,ABS,ADDDUCTORS,ADDUCTORS,BICEPS,CALVES,CHEST,FOREARM,GLUTES,HAMSTRINGS,HIPS,LATS,LOWER_BACK,OBLIQUES,QUADS,SHOULDERS,TRAPS,TRICEPS
Low Side-to-Side Lunge,LUNGE,LOW_SIDE_TO_SIDE_LUNGE,FALSE,,,,,0,2,0,0,2,0,0,0,0,1,2,0,0,0,0,1,0,0,0
Lunge,LUNGE,LUNGE,TRUE,,https://connect.garmin.com/modern/exercises/LUNGE/LUNGE,Advanced,The standard lunge is a foundation bodyweight exercise used to strengthen the muscles of the lower extremities.,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0
Lunge with Arm Reach,LUNGE,LUNGE_WITH_ARM_REACH,TRUE,,https://connect.garmin.com/modern/exercises/LUNGE/LUNGE_WITH_ARM_REACH,Beginner,"This exercise is a body-weight exercise used to increase mobility, flexibility, and strength throughout the hip and leg region.",0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0
Lunge with Diagonal Reach,LUNGE,LUNGE_WITH_DIAGONAL_REACH,FALSE,,,,,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0
Lunge with Side Bend,LUNGE,LUNGE_WITH_SIDE_BEND,FALSE,,,,,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,0,0
Runner's Lunge to Balance,LUNGE,RUNNERS_LUNGE_TO_BALANCE,TRUE,,https://connect.garmin.com/modern/exercises/LUNGE/RUNNERS_LUNGE_TO_BALANCE,Intermediate,"The runner's lunge to balance is a strength and conditioning exercise. It helps improve hip mobility, stability, overall function of the lower body, and emphasizes building strength in the backs of the legs.",0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Shifting Side Lunge,LUNGE,SHIFTING_SIDE_LUNGE,TRUE,,https://connect.garmin.com/modern/exercises/LUNGE/SHIFTING_SIDE_LUNGE,Intermediate,"This dynamic multi-joint exercise targets the lower body, while increasing hip mobility and core stability.",0,2,0,0,2,0,0,0,0,1,2,0,0,0,0,1,0,0,0
Side and Crossover Lunge,LUNGE,SIDE_AND_CROSSOVER_LUNGE,FALSE,,,,,0,2,0,0,2,0,0,0,0,1,2,0,0,0,0,1,0,0,0
Side Lunge,LUNGE,SIDE_LUNGE,FALSE,,,,,0,2,0,0,2,0,0,0,0,1,2,0,0,0,0,1,0,0,0
Side Lunge and Press,LUNGE,SIDE_LUNGE_AND_PRESS,FALSE,,,,,0,2,0,0,2,0,0,0,0,1,2,0,0,0,0,1,1,0,2
Side Lunge Sweep,LUNGE,SIDE_LUNGE_SWEEP,FALSE,,,,,0,2,0,0,2,0,0,0,0,1,2,2,0,0,0,1,0,0,0
Side Lunge to Crossover Tap,LUNGE,SIDE_LUNGE_TO_CROSSOVER_TAP,FALSE,,,,,0,2,0,0,2,0,0,0,0,1,2,0,0,0,0,1,0,0,0
Side-to-Side Lunge Chops,LUNGE,SIDE_TO_SIDE_LUNGE_CHOPS,TRUE,,https://connect.garmin.com/modern/exercises/LUNGE/SIDE_TO_SIDE_LUNGE_CHOPS,Beginner,"Side-to-side lunge chops are a total-body exercise that strengthens the inner thighs, quads, hamstrings, and glutes while engaging the core.",0,2,2,0,2,0,0,0,0,1,2,0,0,0,2,1,0,0,0
Sliding Lateral Lunge,LUNGE,SLIDING_LATERAL_LUNGE,FALSE,,,,,0,2,0,0,2,0,2,0,0,1,2,0,0,0,0,1,0,0,0
Arch and Curl,MOVE,ARCH_AND_CURL,TRUE,,https://connect.garmin.com/modern/exercises/MOVE/ARCH_AND_CURL,Beginner,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Arm Stretch,MOVE,ARM_STRETCH,TRUE,,https://connect.garmin.com/modern/exercises/MOVE/ARM_STRETCH,Beginner,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Bridge (with ball),MOVE,BRIDGE_WITH_BALL,TRUE,,https://connect.garmin.com/modern/exercises/MOVE/BRIDGE_WITH_BALL,Beginner,,0,0,1,0,2,0,0,0,0,1,2,0,0,0,0,2,0,0,0
